Date,Open,High,Low,Close,Adj Close,Volume
31/12/2013,184.070007,184.690002,183.929993,184.690002,157.853638,86119900
02/01/2014,183.979996,184.070007,182.479996,182.919998,156.340836,119636900
03/01/2014,183.229996,183.600006,182.630005,182.889999,156.315201,81390600
06/01/2014,183.490005,183.559998,182.080002,182.360001,155.862137,108028200
07/01/2014,183.089996,183.789993,182.949997,183.479996,156.819412,86144200
08/01/2014,183.449997,183.830002,182.889999,183.520004,156.853622,96582300
09/01/2014,184.110001,184.130005,182.800003,183.639999,156.956177,90683400
10/01/2014,183.949997,184.220001,183.009995,184.139999,157.38353,102026400
13/01/2014,183.669998,184.179993,181.339996,181.690002,155.289505,149892000
14/01/2014,182.289993,183.770004,181.949997,183.669998,156.981812,105016100
15/01/2014,184.100006,184.940002,183.710007,184.660004,157.828003,98525800
16/01/2014,184.279999,184.660004,183.830002,184.419998,157.622849,72290600
17/01/2014,184.100006,184.449997,183.320007,183.639999,156.956177,107848700
21/01/2014,184.699997,184.770004,183.050003,184.179993,157.41777,88621200
22/01/2014,184.490005,184.570007,183.910004,184.300003,157.520279,61270900
23/01/2014,183.369995,183.399994,181.820007,182.789993,156.229691,132496900
24/01/2014,181.600006,181.660004,178.830002,178.889999,152.896408,208677100
27/01/2014,179.059998,179.520004,177.119995,178.009995,152.144226,180843100
28/01/2014,178.139999,179.300003,178.119995,179.070007,153.050247,110463200
29/01/2014,177.580002,178.550003,176.880005,177.350006,151.58017,216597300
30/01/2014,178.830002,179.809998,178.259995,179.229996,153.186981,118938100
31/01/2014,177.009995,179.289993,176.919998,178.179993,152.289536,194677900
03/02/2014,177.970001,178.369995,173.830002,174.169998,148.862228,254837100
04/02/2014,174.949997,175.839996,174.110001,175.389999,149.904984,165012400
05/02/2014,174.779999,175.559998,173.710007,175.169998,149.716949,164230500
06/02/2014,175.580002,177.479996,175.220001,177.479996,151.691269,132877600
07/02/2014,178.309998,179.869995,177.729996,179.679993,153.571548,170787200
10/02/2014,179.699997,180.070007,179.210007,180.009995,153.853638,92218800
11/02/2014,180.160004,182.440002,180.039993,181.979996,155.537399,117814100
12/02/2014,182.25,182.830002,181.710007,182.070007,155.614349,94717700
13/02/2014,180.839996,183.199997,180.830002,183.009995,156.417725,100542200
14/02/2014,182.839996,184.360001,182.669998,184.020004,157.28093,96498400
18/02/2014,184.179993,184.490005,183.649994,184.240005,157.469009,80460900
19/02/2014,183.759995,184.949997,182.869995,183.020004,156.426285,126524300
20/02/2014,183.270004,184.520004,182.600006,184.100006,157.34935,104998100
21/02/2014,184.449997,184.889999,183.800003,183.889999,157.169891,118116400
24/02/2014,184.279999,186.149994,184.199997,184.910004,158.041656,114063900
25/02/2014,185.059998,185.589996,184.229996,184.839996,157.981812,117085000
26/02/2014,185.110001,185.600006,184.330002,184.850006,157.990341,98677200
27/02/2014,184.580002,185.869995,184.369995,185.820007,158.819412,93880800
28/02/2014,185.789993,187.149994,185.050003,186.289993,159.221115,150842000
03/03/2014,184.649994,185.449997,183.75,184.979996,158.101501,167748500
04/03/2014,186.789993,187.979996,186.75,187.580002,160.323669,167545900
05/03/2014,187.740005,188.070007,187.449997,187.75,160.468979,88376900
06/03/2014,188.210007,188.610001,187.779999,188.179993,160.836487,82516500
07/03/2014,188.960007,188.960007,187.429993,188.259995,160.904907,114513500
10/03/2014,187.970001,188.229996,187.080002,188.160004,160.819427,74939200
11/03/2014,188.440002,188.710007,186.800003,187.229996,160.024551,99009100
12/03/2014,186.320007,187.350006,185.899994,187.279999,160.067276,104824400
13/03/2014,187.839996,187.990005,184.660004,185.179993,158.2724,155014300
14/03/2014,184.850006,185.800003,184.440002,184.660004,157.828003,153919600
17/03/2014,185.589996,186.770004,185.509995,186.330002,159.255325,98359500
18/03/2014,186.710007,187.910004,186.509995,187.660004,160.392075,101804600
19/03/2014,187.679993,187.940002,185.470001,186.660004,159.537354,176267300
20/03/2014,186.25,187.889999,185.919998,187.75,160.468979,117241000
21/03/2014,187.710007,189.020004,186.029999,186.199997,159.846619,163128000
24/03/2014,186.839996,187.070007,184.619995,185.429993,159.185562,121411000
25/03/2014,186.369995,186.940002,185.270004,186.309998,159.941025,103852000
26/03/2014,187.039993,187.339996,184.919998,184.970001,158.790665,119843000
27/03/2014,184.75,185.339996,183.899994,184.580002,158.455917,142383000
28/03/2014,185.110001,186.419998,185,185.490005,159.237122,101642000
31/03/2014,186.669998,187.300003,185.520004,187.009995,160.541962,99745000
01/04/2014,187.619995,188.360001,187,188.25,161.606445,89193000
02/04/2014,188.490005,189.130005,188.139999,188.880005,162.147308,78774000
03/04/2014,189.169998,189.220001,188.050003,188.630005,161.932632,77435000
04/04/2014,189.660004,189.699997,186.100006,186.399994,160.018295,169381000
07/04/2014,185.949997,186.259995,183.960007,184.339996,158.249817,140803000
08/04/2014,184.259995,185.399994,183.589996,185.100006,158.902313,112660000
09/04/2014,185.600006,187.149994,185.059998,187.089996,160.610596,100254000
10/04/2014,187.080002,187.169998,182.929993,183.160004,157.236832,172959000
11/04/2014,182.139999,183.419998,181.309998,181.509995,155.820404,167251000
14/04/2014,182.929993,183.369995,181.440002,182.940002,157.048019,132382000
15/04/2014,183.320007,184.330002,181.509995,184.199997,158.129654,157093000
16/04/2014,185.470001,186.139999,184.649994,186.130005,159.786469,105197000
17/04/2014,185.880005,186.910004,185.559998,186.389999,160.00975,105255000
21/04/2014,186.440002,187.100006,186.210007,187.039993,160.567734,68329000
22/04/2014,187.229996,188.399994,187.130005,187.889999,161.297409,85790000
23/04/2014,187.820007,187.919998,187.300003,187.449997,160.919678,73869000
24/04/2014,188.369995,188.389999,186.929993,187.830002,161.24588,88170000
25/04/2014,187.220001,187.330002,185.869995,186.289993,159.923859,100380000
28/04/2014,187.050003,187.690002,184.960007,186.880005,160.430374,135121000
29/04/2014,187.479996,188.039993,187.080002,187.75,161.177216,84098000
30/04/2014,187.440002,188.5,187.179993,188.309998,161.658005,101508000
01/05/2014,188.220001,188.839996,187.729996,188.330002,161.67514,93019000
02/05/2014,188.309998,189.139999,187.779999,188.059998,161.443329,98122000
05/05/2014,187.139999,188.550003,186.619995,188.419998,161.752411,75883000
06/05/2014,188,188.130005,186.740005,186.779999,160.344467,85454000
07/05/2014,187.410004,187.970001,186.009995,187.880005,161.288864,106500000
08/05/2014,187.710007,189.050003,187.080002,187.679993,161.117111,93618000
09/05/2014,187.710007,188.039993,186.830002,187.960007,161.357574,83679000
12/05/2014,188.800003,189.880005,188,189.789993,162.928482,86940000
13/05/2014,190.039993,190.419998,189.770004,189.960007,163.074448,66454000
14/05/2014,189.789993,189.880005,188.789993,189.059998,162.301834,72367000
15/05/2014,188.679993,188.720001,186.479996,187.399994,160.876724,154956000
16/05/2014,187.509995,188.130005,186.720001,188.050003,161.434738,97458000
19/05/2014,187.690002,188.889999,187.520004,188.740005,162.02713,63839000
20/05/2014,188.649994,188.669998,187.070007,187.550003,161.005554,111644000
21/05/2014,188.089996,189.220001,188.059998,189.130005,162.361923,89093000
22/05/2014,189.179993,189.979996,188.860001,189.589996,162.75679,61549000
23/05/2014,189.759995,190.479996,189.589996,190.350006,163.409256,61092800
27/05/2014,191.059998,191.580002,190.949997,191.520004,164.413635,72010000
28/05/2014,191.520004,191.820007,191.059998,191.380005,164.293442,66723000
29/05/2014,191.820007,192.399994,191.330002,192.369995,165.143341,64377000
30/05/2014,192.190002,192.800003,192.029999,192.679993,165.409454,76316000
02/06/2014,192.949997,192.990005,191.970001,192.899994,165.598312,64656000
03/06/2014,192.429993,192.899994,192.25,192.800003,165.512451,65047000
04/06/2014,192.470001,193.300003,192.270004,193.190002,165.847244,55529000
05/06/2014,193.410004,194.649994,192.699997,194.449997,166.92894,92103000
06/06/2014,194.869995,195.429993,194.779999,195.380005,167.727325,78696000
09/06/2014,195.350006,196.050003,195.169998,195.580002,167.899002,65119000
10/06/2014,195.339996,195.639999,194.919998,195.600006,167.916168,57129000
11/06/2014,194.899994,195.119995,194.479996,194.919998,167.332428,68772000
12/06/2014,194.690002,194.800003,193.110001,193.539993,166.147751,106350000
13/06/2014,193.919998,194.320007,193.300003,194.130005,166.65419,82017000
16/06/2014,193.889999,194.699997,193.660004,194.289993,166.791611,87424000
17/06/2014,194.020004,194.970001,193.809998,194.830002,167.255188,84834000
18/06/2014,194.830002,196.369995,194.399994,196.259995,168.482773,105267000
19/06/2014,196.429993,196.600006,195.800003,196.479996,168.671631,85929000
20/06/2014,196.029999,196.100006,195.699997,195.940002,169.014114,100587000
23/06/2014,195.990005,196.050003,195.520004,195.880005,168.962341,70611000
24/06/2014,195.529999,196.5,194.479996,194.699997,167.944519,96237000
25/06/2014,194.289993,195.779999,194.25,195.580002,168.703506,82782000
26/06/2014,195.610001,195.630005,194.130005,195.440002,168.582794,84312000
27/06/2014,194.979996,195.880005,194.889999,195.820007,168.910553,71445100
30/06/2014,195.699997,196.169998,195.529999,195.720001,168.824295,70201200
01/07/2014,196.199997,197.630005,196.130005,197.029999,169.954346,90470000
02/07/2014,197.050003,197.479996,196.960007,197.229996,170.126801,52475000
03/07/2014,197.789993,198.289993,197.639999,198.199997,170.963547,52938800
07/07/2014,197.820007,197.979996,197.220001,197.509995,170.368347,61696000
08/07/2014,197.149994,197.220001,195.759995,196.240005,169.272873,108143000
09/07/2014,196.729996,197.300003,196.309998,197.119995,170.031906,72992000
10/07/2014,195.220001,196.860001,195.059998,196.339996,169.35907,99040000
11/07/2014,196.220001,196.75,195.779999,196.610001,169.59201,64243000
14/07/2014,197.610001,197.860001,197.440002,197.600006,170.445938,58658000
15/07/2014,197.720001,198.100006,196.360001,197.229996,170.126801,111307000
16/07/2014,198.110001,198.259995,197.419998,197.960007,170.75647,79986400
17/07/2014,197.350006,198.100006,195.429993,195.710007,168.815643,145398000
18/07/2014,196.350006,197.910004,196.240005,197.710007,170.540817,124330000
21/07/2014,197.089996,197.5,196.429993,197.339996,170.22171,67592000
22/07/2014,198.009995,198.559998,197.869995,198.199997,170.963547,67678000
23/07/2014,198.5,198.850006,198.100006,198.639999,171.343033,65612000
24/07/2014,198.830002,199.059998,198.449997,198.649994,171.351669,56888000
25/07/2014,198.089996,198.259995,197.330002,197.720001,170.549515,76837000
28/07/2014,197.759995,198.089996,196.619995,197.800003,170.618484,69259000
29/07/2014,198.169998,198.449997,196.919998,196.949997,169.885269,80466000
30/07/2014,197.649994,197.910004,196.160004,196.979996,169.911163,104222000
31/07/2014,195.610001,195.779999,192.970001,193.089996,166.555725,183479000
01/08/2014,192.559998,193.759995,191.570007,192.5,166.046844,189261000
04/08/2014,192.869995,194.300003,192.050003,193.889999,167.245758,91340000
05/08/2014,193.100006,193.600006,191.309998,192.009995,165.624146,152690000
06/08/2014,191.110001,192.889999,191.080002,192.070007,165.675888,94818000
07/08/2014,192.940002,193.130005,190.550003,191.029999,164.778778,135733000
08/08/2014,191.460007,193.369995,190.949997,193.240005,166.685104,117014000
11/08/2014,193.970001,194.660004,193.710007,193.800003,167.168182,74544000
12/08/2014,193.610001,194.149994,192.940002,193.529999,166.935211,73632000
